Common_Name,Habitat_Type,Obs_Depth_m,Body_Length_cm,Body_Weight_kg,Sex,Water_Temp_C,Salinity_ppt,pH,Estimated_Age_yr
Wahoo,Marine,61.8,255.9,103.786,Male,18.3,33.7,8.31,3.4
Yellowfin Tuna,Marine,606.8,210.7,238.671,Female,2.6,36.4,7.55,3.9
Blue Marlin,Marine,524.2,536.6,923.722,Male,1.3,35.8,7.52,18.7
Yellowfin Tuna,Marine,385.2,195.8,179.507,Male,2.0,36.9,7.91,2.8
Sailfish,Marine,19.8,245.3,89.334,Female,22.3,36.3,8.32,5.2
Bluefin Tuna,Marine,77.3,418.6,630.922,Juvenile,25.7,33.3,8.07,21.4
Swordfish,Marine,611.4,418.3,465.36,Female,4.9,36.4,7.5,2.8
Blue Marlin,Marine,51.4,404.1,806.342,Male,23.8,35.1,7.86,19.6
Mahi-Mahi,Marine,144.8,247.6,43.721,Juvenile,29.1,34.5,8.08,3.1
Yellowfin Tuna,Marine,200.3,219.4,212.575,Male,5.3,34.5,7.89,6.0
Swordfish,Marine,422.4,476.2,738.741,Male,2.8,33.6,7.71,5.3
Sailfish,Marine,332.8,293.9,107.69,Female,4.5,34.8,8.23,2.4
Blue Marlin,Marine,188.3,563.0,1008.538,Male,18.5,34.7,7.83,11.7
Mahi-Mahi,Marine,143.9,215.8,34.021,Juvenile,25.5,35.3,8.14,3.8
Yellowfin Tuna,Marine,380.2,200.3,200.446,Female,5.5,33.7,8.03,4.6
Yellowfin Tuna,Marine,669.1,246.5,275.03,Male,5.5,36.8,7.6,4.7
Yellowfin Tuna,Marine,745.7,199.5,184.687,Female,4.0,33.7,7.6,5.1
Blue Marlin,Marine,146.3,527.1,796.414,Female,23.5,36.8,8.02,11.3
Mahi-Mahi,Marine,251.1,195.3,53.296,Male,2.8,36.7,7.68,3.5
Sailfish,Marine,152.7,315.1,74.616,Female,25.6,35.6,7.8,5.3
Blue Marlin,Marine,557.0,503.3,532.95,Male,4.4,35.0,7.57,19.8
Sailfish,Marine,193.0,312.8,69.183,Male,29.8,34.6,8.12,0.7
Blue Marlin,Marine,633.5,666.5,934.574,Female,2.7,34.2,7.55,12.4
Sailfish,Marine,292.8,304.9,83.032,Male,1.7,33.4,8.01,2.7
Bluefin Tuna,Marine,820.3,460.1,664.895,Male,1.6,35.6,8.08,21.1
Blue Marlin,Marine,763.2,507.4,510.887,Female,3.8,35.9,8.29,8.6
Yellowfin Tuna,Marine,927.8,201.1,212.134,Male,4.3,36.2,8.04,3.4
Wahoo,Marine,121.4,253.5,90.82,Juvenile,21.7,36.3,7.55,4.5
Albacore Tuna,Marine,295.1,140.7,63.539,Female,5.0,35.0,7.83,9.1
Swordfish,Marine,0.0,355.9,545.51,Juvenile,24.9,33.7,7.77,7.2
Mahi-Mahi,Marine,72.9,196.8,45.559,Female,25.7,34.2,7.62,3.3
Albacore Tuna,Marine,356.0,119.6,44.388,Female,2.0,34.1,8.16,7.9
Albacore Tuna,Marine,11.0,125.4,58.448,Juvenile,20.9,33.3,8.26,6.7
Mahi-Mahi,Marine,204.1,245.9,41.033,Male,4.3,35.9,7.64,4.2
Bluefin Tuna,Marine,307.6,374.9,660.817,Juvenile,1.8,36.3,8.1,17.1
Sailfish,Marine,282.1,295.4,106.271,Female,4.8,35.3,8.23,9.0
Wahoo,Marine,226.3,212.4,85.49,Male,4.0,34.6,7.53,7.2
Swordfish,Marine,576.6,478.3,618.868,Female,2.6,35.4,7.56,6.3
Albacore Tuna,Marine,273.5,144.9,44.82,Juvenile,4.8,33.5,8.09,1.9
Bluefin Tuna,Marine,296.8,404.9,463.158,Male,1.9,36.1,7.81,18.9
Bluefin Tuna,Marine,860.0,381.4,487.566,Juvenile,3.5,36.4,8.05,16.4
Blue Marlin,Marine,502.7,390.9,815.773,Male,1.9,33.0,8.15,20.8
Wahoo,Marine,264.5,248.0,97.182,Juvenile,4.5,35.8,7.95,5.4
Yellowfin Tuna,Marine,536.7,245.2,217.201,Juvenile,4.4,36.3,8.06,2.1
Yellowfin Tuna,Marine,1000.0,254.3,214.979,Juvenile,1.9,35.8,8.06,3.9
Wahoo,Marine,103.0,271.8,75.211,Juvenile,28.2,35.0,8.33,5.6
Mahi-Mahi,Marine,0.0,227.0,47.464,Male,29.2,33.4,7.55,1.2
Swordfish,Marine,232.2,369.7,481.132,Juvenile,4.3,36.2,8.02,0.5
Wahoo,Marine,121.5,290.0,86.674,Juvenile,25.3,34.2,7.92,3.2
Swordfish,Marine,385.1,347.3,578.528,Juvenile,1.6,35.8,8.11,3.9
Yellowfin Tuna,Marine,314.4,160.8,206.963,Juvenile,1.5,36.0,8.06,2.9
Bluefin Tuna,Marine,274.7,286.7,617.16,Male,1.9,34.0,7.7,17.6
Blue Marlin,Marine,466.2,512.8,724.182,Female,4.0,34.8,7.57,18.2
Mahi-Mahi,Marine,140.7,221.3,34.79,Male,22.2,35.0,7.78,1.8
Mahi-Mahi,Marine,92.7,165.8,40.326,Juvenile,25.5,35.6,7.64,3.3
Bluefin Tuna,Marine,303.6,374.0,680.601,Female,3.3,35.1,8.18,18.3
Mahi-Mahi,Marine,202.2,252.3,25.904,Juvenile,1.7,33.7,8.17,0.3
Sailfish,Marine,105.8,329.9,79.208,Male,26.2,34.8,8.14,7.5
Blue Marlin,Marine,603.0,476.1,852.938,Female,1.5,33.1,8.02,14.4
Yellowfin Tuna,Marine,325.3,181.8,132.741,Female,5.8,36.7,8.17,4.4
Yellowfin Tuna,Marine,298.1,205.5,168.756,Female,3.1,34.3,8.14,3.5
Wahoo,Marine,154.4,246.4,79.843,Male,20.6,33.1,7.61,3.9
Mahi-Mahi,Marine,140.9,257.9,34.206,Juvenile,25.2,36.4,7.65,2.6
Wahoo,Marine,151.5,246.2,76.555,Male,18.1,36.2,7.92,6.9
Wahoo,Marine,148.8,175.6,88.483,Female,21.0,35.0,7.8,3.5
Swordfish,Marine,596.9,370.7,464.418,Male,2.9,34.7,7.93,5.6
Sailfish,Marine,166.7,363.7,110.444,Male,19.8,34.8,8.14,4.2
Bluefin Tuna,Marine,612.3,307.1,660.693,Male,2.0,35.1,8.16,22.3
Yellowfin Tuna,Marine,619.0,287.9,216.94,Juvenile,5.7,35.4,7.65,3.3
Blue Marlin,Marine,588.3,467.8,578.067,Juvenile,5.7,36.2,7.67,12.3
Swordfish,Marine,0.0,419.7,748.179,Female,22.9,34.0,7.97,6.7
Wahoo,Marine,143.2,277.1,86.884,Juvenile,23.3,36.3,7.97,1.6
Yellowfin Tuna,Marine,481.8,134.7,227.02,Female,5.8,35.6,7.79,2.5
Sailfish,Marine,123.8,427.8,119.609,Juvenile,27.6,33.9,7.94,6.6
Swordfish,Marine,603.1,459.9,602.298,Female,3.3,34.9,8.1,6.1
Bluefin Tuna,Marine,526.7,389.8,677.043,Male,5.4,36.2,7.67,11.6
Swordfish,Marine,158.5,448.4,674.052,Female,26.5,35.2,8.17,5.2
Mahi-Mahi,Marine,20.2,240.0,62.088,Male,20.1,35.6,8.2,2.2
Swordfish,Marine,438.1,325.7,627.595,Male,3.4,36.7,8.1,3.7
Bluefin Tuna,Marine,595.7,343.4,346.591,Male,4.1,34.3,7.97,18.0
Swordfish,Marine,776.2,514.6,608.489,Male,5.5,34.0,7.79,6.9
Wahoo,Marine,53.3,294.6,84.652,Male,29.5,35.8,8.08,5.9
Albacore Tuna,Marine,416.5,132.0,67.738,Male,3.3,33.5,8.0,6.9
Sailfish,Marine,157.0,327.8,82.726,Male,24.5,35.1,8.39,7.8
Bluefin Tuna,Marine,809.3,409.4,401.253,Male,3.8,35.6,7.81,19.2
Swordfish,Marine,462.7,431.9,579.735,Juvenile,1.3,33.2,7.69,7.2
Bluefin Tuna,Marine,378.9,326.9,536.364,Juvenile,4.2,34.9,7.83,19.2
Albacore Tuna,Marine,388.3,164.8,51.137,Male,4.8,33.6,8.3,6.2
Mahi-Mahi,Marine,85.4,220.8,41.339,Juvenile,28.3,33.2,8.37,2.0
Albacore Tuna,Marine,0.0,109.1,54.981,Female,23.5,33.6,7.81,7.7
Wahoo,Marine,159.4,215.1,100.263,Juvenile,19.2,36.5,7.94,6.8
Mahi-Mahi,Marine,151.2,187.5,23.493,Female,29.2,33.2,7.93,2.3
Sailfish,Marine,67.4,339.7,97.771,Male,20.8,35.3,8.22,0.8
Wahoo,Marine,127.8,261.8,84.758,Female,18.1,34.8,8.32,3.8
Bluefin Tuna,Marine,498.2,367.1,562.814,Juvenile,5.8,33.8,8.17,13.9
Albacore Tuna,Marine,182.7,142.0,50.992,Female,21.8,33.8,7.86,4.0
Sailfish,Marine,185.3,318.4,101.406,Female,23.3,33.9,7.82,7.6
Yellowfin Tuna,Marine,555.5,184.0,212.269,Juvenile,1.8,36.7,8.12,5.1
Yellowfin Tuna,Marine,606.4,241.7,180.532,Female,4.8,36.7,7.52,3.6
Sailfish,Marine,304.9,269.4,71.395,Male,2.9,36.3,7.88,8.0
Swordfish,Marine,397.4,416.6,484.033,Juvenile,1.4,33.3,7.51,2.3
Sailfish,Marine,140.4,347.8,101.662,Male,25.2,33.1,7.81,4.8
Bluefin Tuna,Marine,658.8,394.3,475.283,Juvenile,3.2,35.6,7.85,21.6
Mahi-Mahi,Marine,17.6,159.2,51.222,Juvenile,19.9,36.8,7.73,2.1
Blue Marlin,Marine,959.1,563.5,686.767,Female,1.5,34.3,8.07,14.6
Sailfish,Marine,174.4,307.6,79.837,Male,19.3,33.3,7.87,5.2
Albacore Tuna,Marine,536.5,134.2,68.447,Female,5.2,37.0,8.27,6.2
Bluefin Tuna,Marine,580.3,276.2,623.155,Male,3.5,34.9,8.25,11.6
Mahi-Mahi,Marine,214.5,186.3,47.36,Female,1.4,35.0,7.63,3.6
Sailfish,Marine,69.3,314.9,95.843,Male,21.2,34.1,8.11,4.4
Sailfish,Marine,281.5,352.3,95.534,Male,4.0,34.7,7.52,5.8
Swordfish,Marine,409.2,397.7,669.694,Male,4.4,36.4,7.98,5.8
Swordfish,Marine,473.2,386.9,539.717,Female,1.3,34.1,8.08,4.1
Yellowfin Tuna,Marine,43.2,211.3,177.073,Male,19.7,36.9,7.66,3.9
Swordfish,Marine,92.0,449.0,607.967,Male,28.7,33.4,7.75,4.5
Blue Marlin,Marine,299.3,456.7,497.398,Female,4.4,35.1,8.13,24.3
Swordfish,Marine,472.7,465.7,601.857,Male,1.2,34.6,7.81,3.6
Yellowfin Tuna,Marine,869.5,216.6,201.132,Female,1.2,36.7,7.83,2.8
Bluefin Tuna,Marine,659.5,442.3,804.555,Male,3.4,34.9,7.57,20.8
Blue Marlin,Marine,833.2,511.5,892.604,Female,4.9,34.8,7.82,16.9
Yellowfin Tuna,Marine,130.9,181.9,218.572,Female,20.8,33.0,8.02,2.4
Mahi-Mahi,Marine,241.8,208.5,37.465,Male,5.3,35.7,7.8,3.4
Yellowfin Tuna,Marine,885.3,167.9,197.929,Juvenile,5.1,35.0,7.59,5.5
Swordfish,Marine,314.4,439.1,571.197,Female,4.1,36.0,7.68,0.6
Sailfish,Marine,192.7,361.1,88.993,Male,28.4,37.0,7.68,7.9
Bluefin Tuna,Marine,570.7,400.6,883.524,Female,6.0,35.4,8.25,21.2
Mahi-Mahi,Marine,280.0,212.1,46.162,Juvenile,3.3,35.3,8.31,2.9
Sailfish,Marine,282.2,311.7,77.055,Female,3.0,33.7,8.27,4.7
Bluefin Tuna,Marine,291.0,311.2,499.165,Juvenile,3.9,34.3,7.82,19.1
Wahoo,Marine,317.9,262.2,65.239,Juvenile,4.6,35.6,8.26,3.8
Sailfish,Marine,190.2,316.2,103.078,Juvenile,26.8,33.4,7.74,6.1
Albacore Tuna,Marine,208.8,151.4,48.585,Juvenile,3.2,34.1,7.53,4.5
Mahi-Mahi,Marine,58.9,193.5,17.147,Juvenile,19.3,35.3,8.09,2.4
Blue Marlin,Marine,237.6,556.2,747.977,Juvenile,3.2,34.5,7.82,19.0
Blue Marlin,Marine,73.4,475.2,680.085,Male,19.3,34.5,7.86,21.8
Wahoo,Marine,238.0,270.1,84.699,Male,1.8,36.2,8.29,3.3
Swordfish,Marine,338.0,489.4,830.724,Female,5.4,34.6,8.17,0.0
Sailfish,Marine,288.1,331.9,88.37,Female,4.7,34.1,8.24,4.8
Blue Marlin,Marine,497.7,414.2,718.621,Juvenile,3.0,36.6,8.05,7.0
Sailfish,Marine,215.6,337.7,80.879,Juvenile,1.5,34.3,7.97,5.6
Blue Marlin,Marine,291.7,551.3,738.945,Juvenile,3.5,33.1,7.51,14.9
Yellowfin Tuna,Marine,881.0,189.2,225.546,Juvenile,2.0,33.3,7.68,3.1
Sailfish,Marine,242.4,380.7,89.22,Female,4.5,36.4,7.98,6.2
Yellowfin Tuna,Marine,258.4,238.4,234.218,Female,1.2,34.3,7.72,3.9
Swordfish,Marine,338.6,300.6,664.85,Female,4.3,36.7,7.92,4.3
Swordfish,Marine,226.8,356.8,680.883,Male,4.8,36.8,8.1,4.2
Yellowfin Tuna,Marine,953.3,189.4,207.606,Male,4.3,36.4,7.98,3.5
Yellowfin Tuna,Marine,285.1,230.8,175.618,Juvenile,3.5,36.8,7.52,5.0
Blue Marlin,Marine,631.7,504.7,1081.22,Male,3.5,33.6,7.62,12.7
Mahi-Mahi,Marine,230.1,255.9,36.628,Juvenile,3.4,33.2,7.79,0.8
Albacore Tuna,Marine,283.6,144.8,61.696,Male,3.0,35.5,8.18,6.8
Sailfish,Marine,301.5,302.2,107.435,Male,2.9,35.6,7.95,3.6
Yellowfin Tuna,Marine,117.5,189.7,160.742,Female,21.0,34.4,8.23,3.2
Bluefin Tuna,Marine,948.0,328.4,696.324,Female,1.6,33.8,7.78,13.7
Albacore Tuna,Marine,538.3,144.7,50.267,Female,5.5,35.7,7.54,6.0
Wahoo,Marine,83.1,231.1,80.313,Male,24.5,34.2,7.83,1.2
Yellowfin Tuna,Marine,426.6,268.5,262.003,Female,4.1,33.1,7.71,4.7
Swordfish,Marine,461.6,535.8,491.007,Female,3.6,33.1,8.23,4.1
Mahi-Mahi,Marine,143.1,195.6,43.368,Male,24.2,35.5,7.9,1.8
Mahi-Mahi,Marine,102.5,169.1,26.606,Male,26.4,36.5,7.92,2.6
Bluefin Tuna,Marine,514.3,367.4,522.735,Male,3.2,34.9,7.8,19.1
Wahoo,Marine,287.2,229.7,93.224,Juvenile,4.1,34.8,8.03,5.6
Bluefin Tuna,Marine,832.6,304.3,542.787,Male,5.0,34.0,7.93,22.5
Blue Marlin,Marine,403.7,436.4,932.285,Juvenile,2.4,34.8,8.31,19.7
Sailfish,Marine,6.5,365.5,94.861,Juvenile,18.8,35.7,8.22,7.4
Swordfish,Marine,502.7,413.4,722.589,Juvenile,2.9,36.0,7.72,5.3
Wahoo,Marine,250.1,242.0,85.005,Juvenile,4.9,33.8,8.26,5.9
Blue Marlin,Marine,742.9,437.3,572.823,Juvenile,3.7,33.7,8.2,22.5
Mahi-Mahi,Marine,162.9,165.6,36.936,Female,24.4,36.7,8.37,2.0
Swordfish,Marine,369.4,441.2,759.207,Female,3.2,33.4,7.75,7.1
Albacore Tuna,Marine,556.8,147.8,54.165,Juvenile,1.0,34.7,7.8,9.8
Blue Marlin,Marine,428.9,483.7,951.826,Juvenile,3.3,34.7,8.23,8.4
Yellowfin Tuna,Marine,634.6,187.7,207.084,Juvenile,3.1,34.7,7.71,1.8
Wahoo,Marine,257.8,290.3,109.184,Male,2.9,37.0,7.83,4.0
Mahi-Mahi,Marine,150.1,188.3,35.067,Juvenile,25.3,34.4,7.85,3.5
Yellowfin Tuna,Marine,587.9,261.5,143.741,Male,1.5,36.9,7.58,4.5
Wahoo,Marine,135.4,204.5,105.005,Male,28.5,35.5,7.84,5.2
Albacore Tuna,Marine,555.6,139.2,66.42,Juvenile,1.6,36.2,8.36,5.5
Mahi-Mahi,Marine,153.1,235.3,36.35,Juvenile,29.9,36.9,7.81,3.0
Sailfish,Marine,41.2,358.7,106.187,Juvenile,18.7,33.3,7.7,2.3
Sailfish,Marine,243.8,301.9,98.892,Juvenile,4.7,36.2,7.75,7.4
Yellowfin Tuna,Marine,450.0,219.5,231.466,Juvenile,1.8,35.7,8.35,3.3
Sailfish,Marine,180.0,325.3,68.082,Juvenile,20.6,36.4,8.35,5.6
Mahi-Mahi,Marine,176.1,176.9,36.056,Female,19.4,35.8,7.8,3.1
Yellowfin Tuna,Marine,520.5,227.3,194.702,Male,1.6,35.1,7.89,4.1
Sailfish,Marine,257.8,243.9,91.687,Juvenile,2.8,34.0,7.63,5.3
Swordfish,Marine,321.1,379.7,578.936,Male,5.5,37.0,8.23,2.8
Blue Marlin,Marine,353.4,472.8,1063.029,Juvenile,4.6,33.0,8.02,6.3
Blue Marlin,Marine,919.7,433.8,883.953,Female,4.6,34.1,8.2,11.5
Swordfish,Marine,601.3,366.4,422.697,Female,5.5,35.2,7.59,3.1
Sailfish,Marine,184.3,393.4,86.055,Juvenile,26.0,33.6,8.26,8.2
Blue Marlin,Marine,567.2,481.2,772.271,Female,3.4,34.0,7.99,6.2
Albacore Tuna,Marine,484.2,151.2,68.028,Female,4.7,35.6,7.78,6.0
Yellowfin Tuna,Marine,550.6,256.4,156.994,Female,5.9,36.4,8.05,2.6
Swordfish,Marine,531.3,405.4,602.987,Female,1.3,33.7,8.03,3.1
Mahi-Mahi,Marine,171.0,220.6,39.533,Juvenile,18.2,36.9,7.74,0.2
Blue Marlin,Marine,381.6,470.8,851.903,Juvenile,5.4,34.3,7.71,11.7
Yellowfin Tuna,Marine,391.7,206.7,191.788,Male,2.0,35.4,7.52,1.6
Yellowfin Tuna,Marine,84.9,233.1,219.086,Juvenile,20.6,34.4,7.86,3.5
Mahi-Mahi,Marine,280.0,165.3,35.822,Female,3.6,33.2,8.38,2.6
Mahi-Mahi,Marine,248.5,257.0,28.058,Female,4.3,36.7,8.08,1.1
Bluefin Tuna,Marine,792.1,413.1,450.582,Juvenile,2.9,36.9,7.73,12.8
Yellowfin Tuna,Marine,127.7,238.6,177.197,Juvenile,28.9,34.9,7.71,2.7
Albacore Tuna,Marine,223.3,129.6,68.768,Male,3.1,33.7,8.23,9.2
Albacore Tuna,Marine,248.6,148.1,73.337,Juvenile,1.4,33.5,8.32,7.7
Blue Marlin,Marine,198.9,592.2,638.33,Male,21.6,34.0,8.12,18.9
Mahi-Mahi,Marine,94.3,203.7,34.472,Female,29.2,33.2,7.7,2.7
Yellowfin Tuna,Marine,118.1,231.8,197.848,Male,26.3,33.6,8.13,4.5
Blue Marlin,Marine,592.7,460.9,619.929,Male,3.3,35.0,7.8,23.4
Sailfish,Marine,52.5,291.0,83.609,Juvenile,29.7,35.8,7.66,8.1
Sailfish,Marine,56.8,287.1,94.398,Juvenile,18.5,36.6,8.35,5.6
Wahoo,Marine,102.3,248.6,69.918,Female,23.1,35.4,7.6,0.8
Albacore Tuna,Marine,247.9,140.6,55.005,Male,1.3,34.9,8.03,7.4
Yellowfin Tuna,Marine,742.9,230.1,290.497,Juvenile,3.9,33.2,8.08,2.8
Wahoo,Marine,203.8,252.0,80.149,Male,1.9,35.7,7.84,4.7
Wahoo,Marine,298.2,235.2,88.411,Juvenile,5.9,36.7,7.62,7.3
Wahoo,Marine,59.9,251.3,81.669,Juvenile,23.8,36.0,8.33,5.2
Mahi-Mahi,Marine,166.3,225.4,48.936,Female,25.6,35.7,7.56,0.4
Yellowfin Tuna,Marine,842.5,163.3,181.196,Female,1.1,36.6,7.74,4.5
Wahoo,Marine,68.6,245.9,92.201,Juvenile,26.4,34.3,7.77,7.0
Sailfish,Marine,208.1,278.6,97.119,Male,3.7,36.7,8.31,6.1
Yellowfin Tuna,Marine,476.3,264.5,192.498,Juvenile,2.0,35.0,7.6,4.9
Blue Marlin,Marine,281.6,448.0,752.191,Female,1.7,35.2,8.13,9.7
Wahoo,Marine,226.1,256.9,57.206,Juvenile,5.7,35.2,8.12,3.6
Mahi-Mahi,Marine,163.3,203.9,42.51,Male,25.1,35.0,8.27,3.0
Albacore Tuna,Marine,165.8,125.8,65.42,Juvenile,19.8,34.3,8.13,10.5
Swordfish,Marine,434.8,375.4,692.421,Female,5.3,35.5,7.59,5.1
Swordfish,Marine,378.1,306.0,562.308,Male,2.5,36.4,7.64,6.0
Mahi-Mahi,Marine,94.4,243.4,47.539,Male,29.4,34.4,8.38,3.0
Sailfish,Marine,101.8,301.0,108.797,Juvenile,26.9,35.4,7.64,8.8
Yellowfin Tuna,Marine,859.4,218.9,282.036,Juvenile,1.5,34.8,7.66,2.3
Yellowfin Tuna,Marine,490.8,275.3,225.184,Male,2.4,34.9,8.08,1.6
Blue Marlin,Marine,228.2,474.2,794.274,Juvenile,2.7,35.7,7.99,19.9
Bluefin Tuna,Marine,523.1,462.1,503.315,Male,3.3,34.1,7.77,19.8
Bluefin Tuna,Marine,274.5,296.9,684.321,Female,3.6,34.9,8.31,19.8
Bluefin Tuna,Marine,1000.0,380.4,438.717,Male,1.4,36.6,8.3,15.3
Wahoo,Marine,170.2,225.1,80.69,Female,18.3,34.4,8.3,6.1
Sailfish,Marine,91.3,310.1,68.732,Female,22.1,35.7,8.3,7.2
Blue Marlin,Marine,704.4,572.2,983.393,Female,3.1,34.1,7.72,14.1
Albacore Tuna,Marine,498.1,130.5,62.98,Female,4.4,35.7,7.73,7.4
Wahoo,Marine,197.0,240.7,72.253,Female,27.0,33.1,7.9,2.8
Mahi-Mahi,Marine,93.2,237.4,35.759,Female,28.0,35.2,7.96,4.4
Bluefin Tuna,Marine,224.6,367.5,473.954,Male,1.1,33.8,7.6,27.7
Mahi-Mahi,Marine,78.9,184.3,44.638,Male,21.7,35.6,8.3,3.1
Bluefin Tuna,Marine,124.0,420.3,601.012,Juvenile,29.8,34.8,7.74,27.6
Mahi-Mahi,Marine,179.5,241.4,43.389,Male,26.2,35.7,8.32,4.0
Sailfish,Marine,230.7,312.7,91.777,Juvenile,3.7,34.4,7.86,5.2
Sailfish,Marine,60.3,314.5,104.638,Male,22.5,34.4,7.64,5.0
Albacore Tuna,Marine,267.1,130.8,47.622,Female,2.0,33.7,8.21,8.1
Albacore Tuna,Marine,53.1,119.2,67.783,Juvenile,27.0,35.5,7.96,5.3
Bluefin Tuna,Marine,470.3,348.8,735.313,Juvenile,3.4,36.8,7.61,18.0
Bluefin Tuna,Marine,624.5,275.2,652.156,Female,3.9,34.9,7.6,18.4
Sailfish,Marine,301.9,256.5,87.357,Female,2.7,33.1,7.53,5.4
Mahi-Mahi,Marine,149.4,157.5,28.616,Female,26.9,34.4,8.01,2.8
Sailfish,Marine,64.8,320.4,99.37,Female,29.3,34.9,8.07,6.4
Swordfish,Marine,413.6,424.0,614.803,Juvenile,1.6,33.5,7.63,1.2
Wahoo,Marine,335.0,238.3,78.929,Male,3.2,35.5,7.89,5.2
Bluefin Tuna,Marine,493.4,384.7,616.914,Male,1.8,33.1,7.77,6.5
Sailfish,Marine,115.2,325.8,82.237,Male,24.5,34.6,8.04,5.4
Swordfish,Marine,612.7,526.7,683.218,Female,1.7,33.2,7.61,1.7
Albacore Tuna,Marine,468.8,139.9,58.957,Female,4.4,33.9,7.63,5.5
Swordfish,Marine,496.3,510.7,563.953,Male,4.8,34.8,7.64,7.2
Mahi-Mahi,Marine,221.3,226.0,38.95,Juvenile,1.3,36.8,8.02,3.8
Swordfish,Marine,260.6,433.6,621.473,Juvenile,5.9,35.2,8.2,6.3
Bluefin Tuna,Marine,488.8,380.9,452.749,Female,3.5,33.8,8.1,25.6
Bluefin Tuna,Marine,0.0,269.6,698.208,Juvenile,23.2,34.9,8.13,23.7
Swordfish,Marine,496.2,343.8,615.53,Juvenile,1.3,35.5,7.77,3.3
Albacore Tuna,Marine,317.4,190.1,65.443,Female,1.7,35.2,7.6,5.4
Blue Marlin,Marine,634.7,384.1,722.805,Juvenile,2.2,36.1,8.37,19.2
Blue Marlin,Marine,424.6,531.5,925.691,Juvenile,5.0,36.4,7.89,13.7
Swordfish,Marine,575.7,323.5,804.929,Female,3.8,34.6,7.55,3.5
Sailfish,Marine,52.5,265.6,92.616,Juvenile,22.3,33.6,7.84,6.7
Mahi-Mahi,Marine,192.0,169.2,27.072,Female,20.9,36.2,7.94,2.4
Mahi-Mahi,Marine,185.0,197.8,30.798,Juvenile,21.0,33.7,8.18,3.1
Blue Marlin,Marine,591.3,495.1,929.558,Female,2.3,33.7,7.86,9.7
Yellowfin Tuna,Marine,0.0,204.0,159.958,Juvenile,29.6,36.2,8.14,3.6
Swordfish,Marine,167.9,254.7,490.35,Female,22.9,35.8,8.05,1.8
Blue Marlin,Marine,813.9,391.3,787.013,Female,1.9,34.8,8.35,12.7
Yellowfin Tuna,Marine,1000.0,132.3,82.086,Male,5.0,34.1,7.71,2.0
Sailfish,Marine,201.7,282.8,87.404,Juvenile,2.3,34.3,8.15,5.9
Albacore Tuna,Marine,389.6,132.2,80.11,Male,1.8,34.4,7.99,8.9
Yellowfin Tuna,Marine,706.1,178.4,74.293,Male,4.6,33.9,8.17,2.2
Wahoo,Marine,161.4,281.3,105.443,Female,20.9,36.1,7.53,8.1
Wahoo,Marine,91.3,237.5,108.825,Male,24.3,33.8,7.95,4.8
Sailfish,Marine,310.0,288.6,104.534,Female,4.4,35.5,7.58,4.3
Blue Marlin,Marine,349.2,398.9,896.702,Female,4.5,33.6,7.64,5.5
Swordfish,Marine,419.5,426.9,562.15,Male,2.7,33.1,7.87,5.0
Wahoo,Marine,118.8,279.3,82.228,Juvenile,27.9,33.3,7.94,4.1
Sailfish,Marine,100.8,324.1,99.944,Juvenile,26.6,34.9,7.58,9.9
Sailfish,Marine,123.5,317.0,61.501,Juvenile,28.1,36.3,8.06,8.6
Sailfish,Marine,103.1,283.6,125.997,Female,22.0,34.4,7.81,3.7
Yellowfin Tuna,Marine,1000.0,193.4,197.643,Male,1.7,36.3,8.23,3.5
Sailfish,Marine,95.1,276.5,105.736,Female,23.0,33.8,7.94,7.0
Bluefin Tuna,Marine,673.3,405.5,409.711,Juvenile,3.7,33.3,8.31,18.6
Wahoo,Marine,293.6,267.8,105.787,Female,5.8,34.7,8.15,4.0
Mahi-Mahi,Marine,57.4,213.1,41.004,Male,26.9,35.5,8.31,3.7
Mahi-Mahi,Marine,111.9,252.8,39.283,Female,23.1,34.0,7.95,3.0
Yellowfin Tuna,Marine,472.7,260.1,150.316,Male,2.6,34.3,8.23,4.0
Yellowfin Tuna,Marine,375.7,234.2,170.983,Juvenile,2.2,36.8,7.71,2.7
Yellowfin Tuna,Marine,750.6,257.4,192.692,Juvenile,1.9,33.8,7.67,2.9
Bluefin Tuna,Marine,632.6,405.4,438.882,Male,4.0,36.7,8.26,24.2
Bluefin Tuna,Marine,422.6,285.1,641.826,Female,3.6,34.8,8.29,17.4
Bluefin Tuna,Marine,1000.0,518.9,595.012,Juvenile,5.8,35.0,8.16,25.2
Yellowfin Tuna,Marine,701.9,233.9,188.665,Female,2.4,33.5,8.27,3.2
Swordfish,Marine,380.5,333.8,329.477,Female,3.6,35.1,7.6,2.6
Sailfish,Marine,281.8,255.2,80.37,Male,2.2,36.4,7.85,3.1
Yellowfin Tuna,Marine,465.0,199.3,183.916,Female,1.9,34.2,8.08,3.3
Mahi-Mahi,Marine,103.5,232.0,40.524,Juvenile,19.2,36.0,7.78,2.8
Wahoo,Marine,152.0,251.4,66.09,Juvenile,27.3,34.0,7.81,3.6
Bluefin Tuna,Marine,765.7,313.8,509.325,Female,2.0,34.4,8.09,14.3
Yellowfin Tuna,Marine,443.0,215.4,193.047,Female,4.0,35.0,7.99,3.8
Bluefin Tuna,Marine,1000.0,356.8,535.887,Female,2.3,33.7,7.59,28.9
Yellowfin Tuna,Marine,557.3,210.8,254.882,Male,4.1,36.2,7.94,4.2
